2013-10-12 14:08:21.792 Connect db
2013-10-12 14:08:21.840 Greening_Up_2 - treat date 01-Jan-2012
2013-10-12 14:08:31.636 Green up Outcome BOTH | GB/Kemp 4th Jan                                    | TO BE PLACED                                       | 1 |  16 |  14 |  13 |  50 |  56 |  3
2013-10-12 14:08:31.652 Green up Outcome BOTH | GB/Kemp 4th Jan                                    | TO BE PLACED                                       | 1 |  10 |  12 |  10 |  50 |  58 |  5
2013-10-12 14:08:31.668 Green up Outcome BOTH | GB/Kemp 4th Jan                                    | TO BE PLACED                                       | 1 |  5 |  14 |  8 |  50 |  80 |  26
2013-10-12 14:08:31.692 Green up Outcome BOTH | GB/Kemp 4th Jan                                    | TO BE PLACED                                       | 1 |  10 |  12 |  11 |  50 |  57 |  4
2013-10-12 14:08:31.752 Green up Outcome BOTH | GB/Kemp 4th Jan                                    | TO BE PLACED                                       | 1 |  7 |  13 |  9 |  50 |  73 |  19
2013-10-12 14:08:31.832 Green up Outcome BOTH | GB/Ling 4th Jan                                    | TO BE PLACED                                       | 1 |  13 |  20 |  19 |  50 |  53 |  0
2013-10-12 14:08:31.848 Green up Outcome BOTH | GB/Ling 4th Jan                                    | TO BE PLACED                                       | 1 |  3 |  16 |  8 |  50 |  102 |  47
2013-10-12 14:08:31.892 Green up Outcome BOTH | GB/Ling 4th Jan                                    | TO BE PLACED                                       | 1 |  12 |  16 |  15 |  50 |  53 |  1
2013-10-12 14:08:31.920 Green up Outcome BACK_BAD | GB/Ling 4th Jan                                    | TO BE PLACED                                       | 1 |  19 |  12 |  0 |  50 |  0 | -50
2013-10-12 14:08:31.924 Green up Outcome BACK_BAD | GB/Ling 4th Jan                                    | TO BE PLACED                                       | 1 |  19 |  16 |  0 |  50 |  0 | -50
2013-10-12 14:08:31.976 Green up Outcome BOTH | GB/Ling 4th Jan                                    | TO BE PLACED                                       | 1 |  13 |  17 |  12 |  50 |  68 |  15
2013-10-12 14:08:31.988 Green up Outcome BOTH | GB/Ling 4th Jan                                    | TO BE PLACED                                       | 1 |  9 |  11 |  7 |  50 |  74 | -3
2013-10-12 14:08:32.296 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  8 |  11 |  9 |  50 |  62 |  9
2013-10-12 14:08:32.300 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  12 |  14 |  11 |  50 |  64 |  11
2013-10-12 14:08:32.320 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  20 |  15 |  8 |  50 |  94 |  39
2013-10-12 14:08:32.332 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  8 |  18 |  15 |  50 |  60 |  7
2013-10-12 14:08:32.340 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  4 |  20 |  19 |  50 |  53 |  0
2013-10-12 14:08:32.388 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  16 |  15 |  14 |  50 |  56 |  3
2013-10-12 14:08:32.404 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  4 |  12 |  5 |  50 |  113 |  57
2013-10-12 14:08:32.408 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  15 |  20 |  17 |  50 |  59 |  6
