GB/Hunt 11th Jan | TO BE PLACED | 107901953 | Fast Ruby |  12 |  5 |  100 |  235 | -100
GB/Hunt 11th Jan | TO BE PLACED | 107901955 | Ajzal |  20 |  3 |  100 |  780 |  641
GB/Hunt 11th Jan | TO BE PLACED | 107901957 | Peterbrown |  11 |  4 |  100 |  273 |  159
GB/Hunt 11th Jan | TO BE PLACED | 107901957 | Dr Thistle |  14 |  0 |  100 |  0 | -100
GB/Hunt 11th Jan | TO BE PLACED | 107901957 | Delgany Demon |  15 |  11 |  100 |  136 |  29
GB/Hunt 11th Jan | TO BE PLACED | 107901957 | Percys Reflection |  12 |  10 |  100 |  120 |  14
GB/Hunt 11th Jan | TO BE PLACED | 107901957 | Tigridia |  14 |  0 |  100 |  0 | -100
GB/Ling 11th Jan | TO BE PLACED | 107901969 | Buckley Boy |  20 |  0 |  100 |  0 | -100
GB/Ling 11th Jan | TO BE PLACED | 107901971 | Sherjawy |  17 |  3 |  100 |  557 |  429
GB/Ling 11th Jan | TO BE PLACED | 107901973 | Harlestone Wood |  14 |  1 |  100 |  1261 |  1091
GB/Ling 11th Jan | TO BE PLACED | 107901973 | Lions Maid |  18 |  0 |  100 |  0 | -100
GB/Ling 11th Jan | TO BE PLACED | 107901975 | High n Dry |  20 |  5 |  100 |  400 |  280
GB/Ling 11th Jan | TO BE PLACED | 107901975 | Reasons Unknown |  11 |  2 |  100 |  455 |  299
GB/Ling 11th Jan | TO BE PLACED | 107901975 | Connishka |  17 |  0 |  100 |  0 | -100
GB/Ling 11th Jan | TO BE PLACED | 107901975 | Strategic Action |  17 |  5 |  100 |  330 |  214
GB/Ling 11th Jan | TO BE PLACED | 107901977 | Al Freej |  13 |  4 |  100 |  313 |  150
GB/Ling 11th Jan | TO BE PLACED | 107901979 | The Black Jacobin |  12 |  2 |  100 |  658 |  525
GB/Wolv 11th Jan | TO BE PLACED | 107915063 | Romanticize |  12 |  0 |  100 |  0 |  1040
GB/Wolv 11th Jan | TO BE PLACED | 107915063 | Chester Deelyte |  13 |  5 |  100 |  250 |  138
GB/Wolv 11th Jan | TO BE PLACED | 107915063 | Nine Before Ten |  16 |  6 |  100 |  172 | -100
GB/Wolv 11th Jan | TO BE PLACED | 107915063 | Ryedale Dancer |  20 |  17 |  100 |  121 |  15
GB/Wolv 11th Jan | TO BE PLACED | 107915067 | Day Of Destiny |  11 |  3 |  100 |  367 |  248
GB/Wolv 11th Jan | TO BE PLACED | 107915071 | Kames Park |  14 |  5 |  100 |  280 |  110
GB/Wolv 11th Jan | TO BE PLACED | 107915071 | Ascendant |  12 |  3 |  100 |  383 |  264
GB/Wolv 11th Jan | TO BE PLACED | 107915071 | Mica Mika |  12 |  3 |  100 |  432 |  275
GB/Wolv 11th Jan | TO BE PLACED | 107915075 | Revolving World |  13 |  7 |  100 |  186 |  77
GB/Wolv 11th Jan | TO BE PLACED | 107915075 | Nolecce |  12 |  2 |  100 |  766 |  628
GB/Wolv 11th Jan | TO BE PLACED | 107915075 | Icy Quiet |  11 |  1 |  100 |  775 |  636
GB/Wolv 11th Jan | TO BE PLACED | 107915075 | Dubai Emerald |  11 |  0 |  100 |  0 | -100
GB/Wolv 11th Jan | TO BE PLACED | 107915075 | Peace In Our Time |  12 |  2 |  100 |  770 |  611
GB/Sedge 11th Jan | TO BE PLACED | 107915078 | Counsel |  13 |  1 |  100 |  1161 |  997
