2013-11-05 23:07:18.960 Connect db
2013-11-05 23:07:18.976 Greening_Up_2 - treat date 01-Jan-2012
2013-11-05 23:07:19.048 Greening_Up_2 - treat date 02-Jan-2012
2012-01-04 15:00:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m5f Hcap Hrd        |  104605216 |  2490842 | FALSE | 12.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:00:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m5f Hcap Hrd        |  104605216 |  4463083 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:00:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m5f Hcap Hrd        |  104605216 |  4659254 | FALSE | 11.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:00:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 2m5f Hcap Hrd        |  104605216 |  5161261 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:10:00.000 | BACKED_LOST | GB/Sthl 4th Jan      | 2m Mdn Hrd           |  104605912 |  5557073 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:20:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603145 |  5461825 | FALSE | 11.20 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:20:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603145 |  5513697 | FALSE | 10.26 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:20:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603145 |  5612343 | FALSE | 10.26 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:20:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603145 |  5645559 | FALSE | 10.73 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:20:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603145 |  5859519 | FALSE | 13.06 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:30:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 1m6f NHF             |  104605218 |  6011185 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:30:00.000 | BACKED_LOST | GB/Hunt 4th Jan      | 1m6f NHF             |  104605218 |  6069184 | FALSE | 14.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:40:00.000 | BACKED_LOST | GB/Sthl 4th Jan      | 2m NHF               |  104605914 |  5164281 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:40:00.000 | BACKED_LOST | GB/Sthl 4th Jan      | 2m NHF               |  104605914 |  6069302 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:40:00.000 | BACKED_WON | GB/Sthl 4th Jan      | 2m NHF               |  104605914 |  6069303 | TRUE | 11.00 | 0.00 | 50.00 | 0.00 | 500.00
2012-01-04 15:50:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603147 |  1509086 | FALSE | 10.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:50:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603147 |  3994243 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 15:50:00.000 | BACKED_LOST | GB/Ling 4th Jan      | 7f Hcap              |  104603147 |  4000756 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 16:30:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 6f Hcap              |  104603123 |  149337 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 16:30:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 6f Hcap              |  104603123 |  5602997 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 16:30:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 6f Hcap              |  104603123 |  5628409 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 17:00:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 1m4f Hcap            |  104603125 |  769764 | FALSE | 14.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 17:00:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 1m4f Hcap            |  104603125 |  1528772 | FALSE | 14.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 17:00:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 1m4f Hcap            |  104603125 |  3946262 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 17:00:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 1m4f Hcap            |  104603125 |  4168372 | FALSE | 10.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 17:30:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 7f Cond Stks         |  104603127 |  3942883 | FALSE | 14.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 17:30:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 7f Cond Stks         |  104603127 |  4337127 | FALSE | 10.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 18:00:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 1m3f Hcap            |  104603129 |  310534 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 18:00:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 1m3f Hcap            |  104603129 |  5750972 | FALSE | 13.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 18:30:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 1m Hcap              |  104603131 |  1507260 | FALSE | 12.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 18:30:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 1m Hcap              |  104603131 |  3079038 | FALSE | 12.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 18:30:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 1m Hcap              |  104603131 |  3781267 | FALSE | 11.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-04 18:30:00.000 | BACKED_LOST | GB/Kemp 4th Jan      | 1m Hcap              |  104603131 |  4671882 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2013-11-05 23:07:23.728 Greening_Up_2 - treat date 05-Jan-2012
2012-01-05 13:00:00.000 | BACKED_LOST | GB/Ludl 5th Jan      | 2m Mdn Hrd           |  104609386 |  3850738 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 13:00:00.000 | BACKED_LOST | GB/Ludl 5th Jan      | 2m Mdn Hrd           |  104609386 |  4985395 | FALSE | 11.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 13:00:00.000 | BACKED_LOST | GB/Ludl 5th Jan      | 2m Mdn Hrd           |  104609386 |  5039597 | FALSE | 13.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 13:10:00.000 | BACKED_LOST | GB/Sedge 5th Jan     | 2m Nov Chs           |  104609350 |  2440439 | FALSE | 10.50 | 0.00 | 50.00 | 0.00 | -50.00
