rl_20190409_202054168.log:2019-04-09 20:20:53.815 |datapoint|04:04.046|1.123683494|2m Nov Hcap Hrd                                   |
rl_20190409_202054168.log:2019-04-09 20:20:53.836 |datapoint|04:39.997|1.123703481|2m1f Hcap Chs                                     |
rl_20190409_202054168.log:2019-04-09 20:20:53.853 |datapoint|03:53.428|1.123703517|2m Nov Hcap Chs                                   |
rl_20190409_202054168.log:2019-04-09 20:20:53.878 |datapoint|05:29.562|1.123703552|2m4f Mdn Hrd                                      |
rl_20190409_202054168.log:2019-04-09 20:20:53.907 |datapoint|06:38.612|1.123703588|2m7f Hcap Chs                                     |
rl_20190409_202054168.log:2019-04-09 20:20:53.931 |datapoint|06:17.904|1.123683499|3m Nov Hcap Chs                                   |
rl_20190409_202054168.log:2019-04-09 20:20:53.954 |datapoint|05:43.847|1.123703486|2m5f Hcap Hrd                                     |
rl_20190409_202054168.log:2019-04-09 20:20:53.974 |datapoint|05:04.509|1.123703522|2m5f Hcap Hrd                                     |
rl_20190409_202054168.log:2019-04-09 20:20:53.992 |datapoint|04:23.519|1.123703593|2m Hcap Hrd                                       |
rl_20190409_202054168.log:2019-04-09 20:20:54.012 |datapoint|05:11.272|1.123683504|2m4f Hcap Hrd                                     |
rl_20190409_202054168.log:2019-04-09 20:20:54.041 |datapoint|07:00.271|1.123703491|3m1f Hcap Chs                                     |
rl_20190409_202054168.log:2019-04-09 20:20:54.062 |datapoint|05:00.322|1.123703527|2m4f Hcap Chs                                     |
rl_20190409_202054168.log:2019-04-09 20:20:54.081 |datapoint|04:16.244|1.123703562|2m Nov Hrd                                        |
rl_20190409_202054168.log:2019-04-09 20:20:54.107 |datapoint|06:24.029|1.123703598|3m Hcap Hrd                                       |
rl_20190409_202054168.log:2019-04-09 20:20:54.141 |datapoint|09:13.687|1.123683509|4m1f Listed Hcap Chs                              |
rl_20190409_202054168.log:2019-04-09 20:20:54.160 |datapoint|04:32.326|1.123703496|2m1f Hcap Hrd                                     |
rl_20190409_202057671.log:2019-04-09 20:20:54.184 |datapoint|05:08.176|1.123703532|2m5f Nov Hrd                                      |
rl_20190409_202057671.log:2019-04-09 20:20:54.207 |datapoint|04:57.718|1.123703567|2m2f Beg Chs                                      |
rl_20190409_202057671.log:2019-04-09 20:20:54.230 |datapoint|04:37.942|1.123703603|2m Hcap Chs                                       |
